Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit
wyze-cam-v4,Wyze Cam v4,<p>The clearest Wyze Cam ever made.</p>,Wyze,Security Camera,"Wyze, Camera, Security, Smart Home",True,Color,White,,,,,wyze-cam-v4-white,300,shopify,50,deny,manual,27.98,35.98,True,True,,,,,False,,,g
wyze-cam-v4,,,,,,,Color,Grey,,,,,wyze-cam-v4-grey,300,shopify,50,deny,manual,27.98,35.98,True,True,,,,,False,,,g
wyze-cam-v4,,,,,,,Color,Black,,,,,wyze-cam-v4-black,300,shopify,50,deny,manual,27.98,35.98,True,True,,,,,False,,,g
wyze-cam-pan-v3,Wyze Cam Pan v3,<p>360° pan and 180° tilt security camera.</p>,Wyze,Security Camera,"Wyze, Camera, Security, Pan Tilt",True,Color,White,,,,,wyze-cam-pan-v3-white,300,shopify,50,deny,manual,34.98,39.98,True,True,,,,,False,,,g
wyze-cam-pan-v3,,,,,,,Color,Black,,,,,wyze-cam-pan-v3-black,300,shopify,50,deny,manual,34.98,39.98,True,True,,,,,False,,,g
wyze-cam-floodlight-v2,Wyze Cam Floodlight v2,<p>2K floodlight camera with a 160° wide-angle view for your garage.</p>,Wyze,Floodlight Camera,"Wyze, Camera, Floodlight, Outdoor",True,Color,White,,,,,wyze-cam-floodlight-v2-white,300,shopify,50,deny,manual,69.98,89.98,True,True,,,,,False,,,g
wyze-cam-floodlight-v2,,,,,,,Color,Black,,,,,wyze-cam-floodlight-v2-black,300,shopify,50,deny,manual,69.98,89.98,True,True,,,,,False,,,g
wyze-duo-cam-doorbell,Wyze Duo Cam Doorbell,<p>Two cameras. Two views. Double the porch protection.</p>,Wyze,Video Doorbell,"Wyze, Doorbell, Camera, Smart Home",True,Title,Default Title,,,,,wyze-duo-cam-doorbell-default-title,300,shopify,50,deny,manual,69.98,,True,True,,,,,False,,,g
wyze-battery-cam-pro,Wyze Battery Cam Pro,<p>Protect anywhere. See everything in 2.5K HDR. No power outlet or electrician needed.</p>,Wyze,Security Camera,"Wyze, Camera, Battery, Wireless",True,Color,White,,,,,wyze-battery-cam-pro-white,300,shopify,50,deny,manual,89.98,,True,True,,,,,False,,,g
wyze-battery-cam-pro,,,,,,,Color,Black,,,,,wyze-battery-cam-pro-black,300,shopify,50,deny,manual,89.98,,True,True,,,,,False,,,g
